t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0,-100000,-100000,-100000,0,0,0,0,1.72063788530119e-08,100000,2.58095682795178e-08,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.01,-109998.355147105,-95000.8224264473,-95000.8224264473,-4.99917757355274e-05,2.49958878677637e-05,2.49958878677637e-05,0,4.99917786966091e-05,100000,14997.5327206582,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.02,-119986.845242983,-90006.5773785083,-90006.5773785083,-9.9934226214917e-05,4.99671131074585e-05,4.99671131074585e-05,0,9.99342276961887e-05,100000,29980.2678644751,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.03,-129955.608360396,-85022.1958198019,-85022.1958198019,-0.000149778041801981,7.48890209009905e-05,7.48890209009905e-05,0,0.000149778042790308,100000,44933.4125405943,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.04,-139894.806266224,-80052.5968668879,-80052.5968668879,-0.000199474031331121,9.97370156655604e-05,9.97370156655604e-05,0,0.000199474032073221,100000,59842.2093993363,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.05,-149794.635009001,-75102.6824954997,-75102.6824954997,-0.000248973175045003,0.000124486587522501,0.000124486587522501,0,0.000248973175639564,100000,74691.9525135008,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.06,-159645.324918911,-70177.3375405443,-70177.3375405443,-0.000298226624594557,0.000149113312297279,0.000149113312297279,0,0.000298226625090924,100000,89467.9873783672,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.07,-169437.150576151,-65281.4247119244,-65281.4247119244,-0.000347185752880756,0.000173592876440378,0.000173592876440378,0,0.000347185753307126,100000,104155.725864227,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.08,-179160.449538858,-60419.7752305709,-60419.7752305709,-0.000395802247694291,0.000197901123847146,0.000197901123847146,0,0.00039580224806829,100000,118740.674308287,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.09,-188805.627192872,-55597.186403564,-55597.186403564,-0.00044402813596436,0.00022201406798218,0.00022201406798218,0,0.000444028136297739,100000,133208.440789308,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.1,-198363.164307195,-50818.4178464024,-50818.4178464024,-0.000491815821535976,0.000245907910767988,0.000245907910767988,0,0.000491815821836962,100000,147544.746460793,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.11,-207575.267845019,-46557.804161767,-46557.804161767,-0.000539118144195516,0.000269559072097758,0.000269559072097758,0,0.000539118144470093,100230.292056184,161017.463683252,2.39326525134363e-06,0.5,2.39326525134363e-06,100000000,0.25,100000,0.577350269189626,1
0.12,-212885.226450963,-49527.6418034494,-49527.6418034494,-0.000585888422335387,0.000292944211167694,0.000292944211167694,0,0.000585888422588046,103980.170019287,163357.584647514,4.13631401770083e-05,0.5,4.13631401770083e-05,100000000,0.25,100000,0.577350269189626,1
