t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0,-100000,-100000,-100000,0,0,0,0,1.72063788530119e-08,100000,2.58095682795178e-08,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.01,-110000,-95000,-95000,-5e-05,2.5e-05,2.5e-05,0,5.00000029605946e-05,100000,15000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.02,-120000,-90000,-90000,-0.0001,5e-05,5e-05,0,0.000100000001480297,100000,30000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.03,-130000,-85000,-85000,-0.00015,7.5e-05,7.5e-05,0,0.000150000000986865,100000,45000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.04,-140000,-80000,-80000,-0.0002,9.99999999999999e-05,9.99999999999999e-05,0,0.000200000000740149,100000,60000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.05,-150000,-75000,-75000,-0.00025,0.000125,0.000125,0,0.000250000000592119,100000,75000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.06,-160000,-70000,-70000,-0.0003,0.00015,0.00015,0,0.000300000000493432,100000,89999.9999999999,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.07,-170000,-65000,-65000,-0.00035,0.000175,0.000175,0,0.000350000000422942,100000,105000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.08,-180000,-60000,-60000,-0.0004,0.0002,0.0002,0,0.000400000000370074,100000,120000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.09,-190000,-55000,-55000,-0.00045,0.000225,0.000225,0,0.000450000000328955,100000,135000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.1,-200000,-50000,-50000,-0.0005,0.00025,0.00025,0,0.000500000000296059,100000,150000,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.11,-208288.473751883,-48236.2752109815,-48236.2752109815,-0.00055,0.000275,0.000275,0,0.000550000000269145,101587.008057949,160052.198540901,1.64926715303288e-05,0.5,1.64926715303288e-05,100000000,0.25,100000,0.577350269189626,1
0.12,-213910.467832122,-51514.519291221,-51514.519291221,-0.0006,0.0003,0.0003,0,0.000600000000246716,105646.502138188,162395.948540901,5.86801715303288e-05,0.5,5.86801715303288e-05,100000000,0.25,100000,0.577350269189626,1
0.13,-219532.461912362,-54792.7633714606,-54792.7633714606,-0.00065,0.000325,0.000325,0,0.000650000000227738,109705.996218428,164739.698540901,0.000100867671530329,0.5,0.000100867671530329,100000000,0.25,100000,0.577350269189626,1
0.14,-225154.455992601,-58071.0074517001,-58071.0074517001,-0.0007,0.00035,0.00035,0,0.000700000000211471,113765.490298667,167083.448540901,0.000143055171530329,0.5,0.000143055171530329,100000000,0.25,100000,0.577350269189626,1
0.15,-230776.450072841,-61349.2515319397,-61349.2515319397,-0.00075,0.000375,0.000375,0,0.000750000000197373,117824.984378907,169427.198540901,0.000185242671530329,0.5,0.000185242671530329,100000000,0.25,100000,0.577350269189626,1
0.16,-236398.444153081,-64627.4956121792,-64627.4956121792,-0.0008,0.0004,0.0004,0,0.000800000000185037,121884.478459146,171770.948540901,0.000227430171530329,0.5,0.000227430171530329,100000000,0.25,100000,0.577350269189626,1
0.17,-242020.43823332,-67905.7396924188,-67905.7396924188,-0.00085,0.000425,0.000425,0,0.000850000000174152,125943.972539386,174114.698540901,0.000269617671530329,0.5,0.000269617671530329,100000000,0.25,100000,0.577350269189626,1
0.18,-247642.43231356,-71183.9837726583,-71183.9837726583,-0.0009,0.00045,0.00045,0,0.000900000000164477,130003.466619625,176458.448540901,0.000311805171530329,0.5,0.000311805171530329,100000000,0.25,100000,0.577350269189626,1
