t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0,-100000,-100000,-100000,0,0,0,0,1.72063788530119e-08,100000,2.58095682795178e-08,0,0.5,0,100000000,0.25,100000,0.577350269189626,1
0.01,-112500,-100000,-100000,-5e-05,1.25e-05,1.25e-05,-2.5e-05,4.16666702193802e-05,104166.666666667,12500,0,0.499962500468746,0,100000000,0.25,100000,0.577350269189626,1
0.02,-125000,-100000,-100000,-0.0001,2.5e-05,2.5e-05,-5e-05,8.33333351096901e-05,108333.333333333,25000,0,0.499925001874969,0,100000000,0.25,100000,0.577350269189626,1
0.03,-137500,-100000,-100000,-0.00015,3.75e-05,3.75e-05,-7.5e-05,0.000125000001184238,112500,37500,0,0.499887504218645,0,100000000,0.25,100000,0.577350269189626,1
0.04,-150000,-100000,-100000,-0.0002,5e-05,5e-05,-9.99999999999999e-05,0.000166666667554845,116666.666666667,50000,0,0.49985000749975,0,100000000,0.25,100000,0.577350269189626,1
0.05,-162500,-100000,-100000,-0.00025,6.25e-05,6.25e-05,-0.000125,0.000208333334043876,120833.333333333,62500,0,0.499812511718262,0,100000000,0.25,100000,0.577350269189626,1
0.06,-175000,-100000,-100000,-0.0003,7.49999999999999e-05,7.49999999999999e-05,-0.00015,0.000250000000592119,125000,74999.9999999999,0,0.499775016874156,0,100000000,0.25,100000,0.577350269189626,1
0.07,-187500,-100000,-100000,-0.00035,8.75e-05,8.75e-05,-0.000175,0.000291666667174197,129166.666666667,87500,0,0.49973752296741,0,100000000,0.25,100000,0.577350269189626,1
0.08,-200000,-100000,-100000,-0.0004,0.0001,0.0001,-0.0002,0.000333333333777422,133333.333333333,100000,0,0.499700029998,0,100000000,0.25,100000,0.577350269189626,1
0.09,-212500,-100000,-100000,-0.00045,0.0001125,0.0001125,-0.000225,0.000375000000394746,137500,112500,0,0.499662537965902,0,100000000,0.25,100000,0.577350269189626,1
0.1,-225000,-100000,-100000,-0.0005,0.000125,0.000125,-0.00025,0.000416666667021938,141666.666666667,125000,0,0.499625046871094,0,100000000,0.25,100000,0.577350269189626,1
0.11,-237500,-100000,-100000,-0.00055,0.0001375,0.0001375,-0.000275,0.000458333333656307,145833.333333333,137500,0,0.499587556713551,0,100000000,0.25,100000,0.577350269189626,1
0.12,-250000,-100000,-100000,-0.0006,0.00015,0.00015,-0.0003,0.000500000000296059,150000,150000,0,0.499550067493251,0,100000000,0.25,100000,0.577350269189626,1
0.13,-262500,-100000,-100000,-0.00065,0.0001625,0.0001625,-0.000325,0.000541666666939952,154166.666666667,162500,0,0.499512579210169,0,100000000,0.25,100000,0.577350269189626,1
0.14,-275000,-100000,-100000,-0.0007,0.000175,0.000175,-0.00035,0.000583333333587098,158333.333333333,175000,0,0.499475091864282,0,100000000,0.25,100000,0.577350269189626,1
0.15,-288480.63451779,-100000,-100000,-0.00075,0.00018511717449532,0.00018511717449532,-0.00037976565100936,0.000623411449900997,162826.878172597,188480.63451779,-4.85733206241925e-06,0.499430459790417,-4.85733206241925e-06,100000000,0.25,100000,0.577350269189626,1
0.16,-300222.415708817,-100000,-100000,-0.0008,0.000199459556222021,0.000199459556222021,-0.000401080887555958,0.000666306371036845,166740.805236272,200222.415708817,-1.10168154804341e-06,0.499398498941148,-1.10168154804341e-06,100000000,0.25,100000,0.577350269189626,1
0.17,-303890.443400927,-100000,-100000,-0.00085,0.000233420200825176,0.000233420200825176,-0.000383159598349648,0.000722280134088398,167963.481133642,203890.443400927,4.26453225470282e-05,0.499425370239884,4.26453225470282e-05,100000000,0.25,100000,0.577350269189626,1
0.18,-303123.852285441,-100000,-100000,-0.0009,0.00027815644286711,0.00027815644286711,-0.00034368711426578,0.000785437628766541,167707.950761814,203123.852285441,0.000108358120959937,0.499484557134657,0.000108358120959937,100000000,0.25,100000,0.577350269189626,1
0.19,-303123.852285441,-100000,-100000,-0.00095,0.000321029959471072,0.000321029959471072,-0.000307940081057857,0.000847353306488744,167707.950761814,203123.852285441,0.000170273798695912,0.499538160216985,0.000170273798695912,100000000,0.25,100000,0.577350269189626,1
0.2,-303123.852285441,-100000,-100000,-0.001,0.000363903476075033,0.000363903476075033,-0.000272193047849934,0.000909268984212823,167707.950761814,203123.852285441,0.000232189476431886,0.499591765215499,0.000232189476431886,100000000,0.25,100000,0.577350269189626,1
0.21,-303123.852285441,-100000,-100000,-0.00105,0.000406776992678994,0.000406776992678994,-0.000236446014642011,0.000971184661938418,167707.950761814,203123.852285441,0.00029410515416786,0.499645372130267,0.00029410515416786,100000000,0.25,100000,0.577350269189626,1
0.22,-303123.852285441,-100000,-100000,-0.0011,0.000449650509282956,0.000449650509282956,-0.000200698981434088,0.00103310033966526,167707.950761814,203123.852285441,0.000356020831903835,0.499698980961357,0.000356020831903835,100000000,0.25,100000,0.577350269189626,1
0.23,-303123.852285441,-100000,-100000,-0.00115,0.000492524025886917,0.000492524025886917,-0.000164951948226165,0.00109501601739313,167707.950761814,203123.852285441,0.000417936509639809,0.499752591708839,0.000417936509639809,100000000,0.25,100000,0.577350269189626,1
0.24,-303123.852285441,-100000,-100000,-0.0012,0.000535397542490879,0.000535397542490879,-0.000129204915018242,0.00115693169512187,167707.950761814,203123.852285441,0.000479852187375783,0.499806204372779,0.000479852187375783,100000000,0.25,100000,0.577350269189626,1
0.25,-303123.852285441,-100000,-100000,-0.00125,0.00057827105909484,0.00057827105909484,-9.34578818103193e-05,0.00121884737285134,167707.950761814,203123.852285441,0.000541767865111757,0.499859818953248,0.000541767865111757,100000000,0.25,100000,0.577350269189626,1
0.26,-303123.852285441,-100000,-100000,-0.0013,0.000621144575698802,0.000621144575698802,-5.77108486023963e-05,0.00128076305058145,167707.950761814,203123.852285441,0.000603683542847732,0.499913435450313,0.000603683542847732,100000000,0.25,100000,0.577350269189626,1
0.27,-303123.852285441,-100000,-100000,-0.00135,0.000664018092302763,0.000664018092302763,-2.19638153944738e-05,0.00134267872831209,167707.950761814,203123.852285441,0.000665599220583706,0.499967053864043,0.000665599220583706,100000000,0.25,100000,0.577350269189626,1
0.28,-303123.852285441,-100000,-100000,-0.0014,0.000706891608906724,0.000706891608906724,1.37832178134492e-05,0.00140459440604321,167707.950761814,203123.852285441,0.00072751489831968,0.500020674194506,0.00072751489831968,100000000,0.25,100000,0.577350269189626,1
0.29,-303123.852285441,-100000,-100000,-0.00145,0.000749765125510686,0.000749765125510686,4.95302510213717e-05,0.00146651008377473,167707.950761814,203123.852285441,0.000789430576055655,0.500074296441772,0.000789430576055655,100000000,0.25,100000,0.577350269189626,1
0.3,-303123.852285441,-100000,-100000,-0.0015,0.000792638642114647,0.000792638642114647,8.52772842292946e-05,0.00152842576150662,167707.950761814,203123.852285441,0.000851346253791629,0.500127920605907,0.000851346253791629,100000000,0.25,100000,0.577350269189626,1
0.31,-303123.852285441,-100000,-100000,-0.00155,0.000835512158718608,0.000835512158718608,0.000121024317437217,0.00159034143923882,167707.950761814,203123.852285441,0.000913261931527603,0.500181546686982,0.000913261931527603,100000000,0.25,100000,0.577350269189626,1
0.32,-303123.852285441,-100000,-100000,-0.0016,0.00087838567532257,0.00087838567532257,0.000156771350645141,0.00165225711697131,167707.950761814,203123.852285441,0.000975177609263578,0.500235174685065,0.000975177609263578,100000000,0.25,100000,0.577350269189626,1
0.33,-303123.852285441,-100000,-100000,-0.00165,0.000921259191926532,0.000921259191926532,0.000192518383853064,0.00171417279470404,167707.950761814,203123.852285441,0.00103709328699955,0.500288804600224,0.00103709328699955,100000000,0.25,100000,0.577350269189626,1
