t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q
0,0,0,0,0,0,0,0,1.72063788530119e-08,-0,2.58095682795178e-08,0
0.01,4000000,0,0,2e-05,-4e-06,-4e-06,1.2e-05,1.60000092518559e-05,-1333333.33333333,4000000,0
0.02,8000000,0,0,4e-05,-8e-06,-8e-06,2.4e-05,3.20000046259289e-05,-2666666.66666667,8000000,0
0.03,12000000,0,0,6e-05,-1.2e-05,-1.2e-05,3.6e-05,4.80000030839528e-05,-4000000,12000000,0
0.04,16000000,0,0,8e-05,-1.6e-05,-1.6e-05,4.8e-05,6.40000023129646e-05,-5333333.33333334,16000000,0
0.05,20000000,0,0,0.0001,-2e-05,-2e-05,6e-05,8.00000018503717e-05,-6666666.66666667,20000000,0
0.06,24000000,0,0,0.00012,-2.4e-05,-2.4e-05,7.2e-05,9.60000015419764e-05,-8000000,24000000,0
0.07,28000000,0,0,0.00014,-2.8e-05,-2.8e-05,8.4e-05,0.000112000001321694,-9333333.33333334,28000000,0
0.08,32000000,0,0,0.00016,-3.2e-05,-3.2e-05,9.6e-05,0.000128000001156482,-10666666.6666667,32000000,0
0.09,36000000,0,0,0.00018,-3.6e-05,-3.6e-05,0.000108,0.000144000001027984,-12000000,36000000,0
0.1,40000000,0,0,0.0002,-4e-05,-4e-05,0.00012,0.000160000000925186,-13333333.3333333,40000000,0
0.11,44000000,0,0,0.00022,-4.4e-05,-4.4e-05,0.000132,0.000176000000841078,-14666666.6666667,44000000,0
0.12,48000000,0,0,0.00024,-4.8e-05,-4.8e-05,0.000144,0.000192000000770988,-16000000,48000000,0
0.13,52000000,0,0,0.00026,-5.2e-05,-5.2e-05,0.000156,0.000208000000711681,-17333333.3333333,52000000,0
0.14,56000000,0,0,0.00028,-5.6e-05,-5.6e-05,0.000168,0.000224000000660847,-18666666.6666667,56000000,0
0.15,60000000,0,0,0.0003,-6e-05,-6e-05,0.00018,0.000240000000616791,-20000000,60000000,0
0.16,64000000,0,0,0.00032,-6.4e-05,-6.4e-05,0.000192,0.000256000000578241,-21333333.3333333,64000000,0
0.17,68000000,0,0,0.00034,-6.8e-05,-6.8e-05,0.000204,0.000272000000544227,-22666666.6666667,68000000,0
0.18,72000000,0,0,0.00036,-7.2e-05,-7.2e-05,0.000216,0.000288000000513992,-24000000,72000000,0
0.19,76000000,0,0,0.00038,-7.6e-05,-7.6e-05,0.000228,0.00030400000048694,-25333333.3333333,76000000,0
0.2,80000000,0,0,0.0004,-8e-05,-8e-05,0.00024,0.000320000000462593,-26666666.6666667,80000000,0
0.21,84000000,0,0,0.00042,-8.4e-05,-8.4e-05,0.000252,0.000336000000440565,-28000000,84000000,0
0.22,88000000,0,0,0.00044,-8.8e-05,-8.8e-05,0.000264,0.000352000000420539,-29333333.3333333,88000000,0
0.23,92000000,0,0,0.00046,-9.2e-05,-9.2e-05,0.000276,0.000368000000402255,-30666666.6666667,92000000,0
0.24,96000000,0,0,0.00048,-9.6e-05,-9.6e-05,0.000288,0.000384000000385494,-32000000,96000000,0
0.25,100000000,0,0,0.0005,-0.0001,-0.0001,0.0003,0.000400000000370074,-33333333.3333333,100000000,0
0.26,104000000,0,0,0.00052,-0.000104,-0.000104,0.000312,0.000416000000355841,-34666666.6666667,104000000,0
0.27,108000000,0,0,0.00054,-0.000108,-0.000108,0.000324,0.000432000000342661,-36000000,108000000,0
0.28,112000000,0,0,0.00056,-0.000112,-0.000112,0.000336,0.000448000000330424,-37333333.3333333,112000000,0
0.29,116000000,0,0,0.00058,-0.000116,-0.000116,0.000348,0.00046400000031903,-38666666.6666667,116000000,0
0.3,120000000,0,0,0.0006,-0.00012,-0.00012,0.00036,0.000480000000308395,-40000000,120000000,0
0.31,124000000,0,0,0.00062,-0.000124,-0.000124,0.000372,0.000496000000298447,-41333333.3333333,124000000,0
0.32,128000000,0,0,0.00064,-0.000128,-0.000128,0.000384,0.000512000000289121,-42666666.6666667,128000000,0
0.33,132000000,0,0,0.00066,-0.000132,-0.000132,0.000396,0.000528000000280359,-44000000,132000000,0
